word,year_quarter,n,total,tf,idf,tf_idf
"""спутник_noun",2021_Q_2,16,6090,0.010891763104152484,3.4965075614664802,0.03808313205137078
кетейік_noun,2021_Q_2,29,6090,0.019741320626276378,1.8870696490323797,0.03725324698566304
салдырғандар_noun,2021_Q_2,15,6090,0.010211027910142955,3.4965075614664802,0.03570293629816011
сонымный_noun,2021_Q_2,15,6090,0.010211027910142955,3.4965075614664802,0.03570293629816011
айтуынша_noun,2021_Q_2,21,6090,0.014295439074200136,2.3978952727983707,0.03427896577860162
бар_noun,2021_Q_2,35,6090,0.023825731790333562,1.4170660197866443,0.033762634916632096
айт_verb,2021_Q_2,20,6090,0.013614703880190605,2.3978952727983707,0.03264663407485869
бұть_verb,2021_Q_2,40,6090,0.02722940776038121,1.1939224684724346,0.0325098017283168
қарс_noun,2021_Q_2,40,6090,0.02722940776038121,1.1939224684724346,0.0325098017283168
коронавирусқ_noun,2021_Q_2,28,6090,0.01906058543226685,1.7047480922384253,0.03249349665260443
жағдай_noun,2021_Q_2,25,6090,0.01701837985023826,1.8870696490323797,0.032114868091088836
дейін_noun,2021_Q_2,19,6090,0.012933968686181076,2.3978952727983707,0.031014302371115757
антиденелер_noun,2021_Q_2,13,6090,0.008849557522123894,3.4965075614664802,0.030942544791738764
жаппай_noun,2021_Q_2,13,6090,0.008849557522123894,3.4965075614664802,0.030942544791738764
компонентін_noun,2021_Q_3,39,7453,0.013983506633201864,3.4965075614664802,0.048893436678807
жатыр_noun,2021_Q_3,98,7453,0.03513804230907135,0.9315582040049435,0.032733131585688226
вакциный_noun,2021_Q_3,53,7453,0.0190032269630692,1.7047480922384253,0.03239571491166602
науқас_noun,2021_Q_3,57,7453,0.020437432771602725,1.550597412411167,0.03169023037197437
облыс_noun,2021_Q_3,25,7453,0.008963786303334529,3.4965075614664802,0.03134194658897885
пный_adj,2021_Q_3,25,7453,0.008963786303334529,3.4965075614664802,0.03134194658897885
қарс_noun,2021_Q_3,71,7453,0.02545715310147006,1.1939224684724346,0.030393867071187828
анықталда_noun,2021_Q_3,35,7453,0.01254930082466834,2.3978952727983707,0.030091909124396906
ад_noun,2021_Q_3,122,7453,0.0437432771602725,0.6632942174102642,0.02901466279098323
жағдайа_noun,2021_Q_3,57,7453,0.020437432771602725,1.4170660197866443,0.028961191512312197
пайыза_noun,2021_Q_3,23,7453,0.008246683399067766,3.4965075614664802,0.028834590861860538
коронавирус_noun,2021_Q_3,120,7453,0.04302617425600574,0.6632942174102642,0.02853901258129498
желдет_noun,2021_Q_3,22,7453,0.007888131946934385,3.4965075614664802,0.027580912998301385
салдырған_noun,2021_Q_3,22,7453,0.007888131946934385,3.4965075614664802,0.027580912998301385
сақтаа_noun,2021_Q_3,22,7453,0.007888131946934385,3.4965075614664802,0.027580912998301385
хабарламада_noun,2021_Q_3,22,7453,0.007888131946934385,3.4965075614664802,0.027580912998301385
балаларғ_noun,2021_Q_4,35,5933,0.02237851662404092,2.803360380906535,0.06273504688729457
вакциный_noun,2021_Q_4,43,5933,0.027493606138107418,1.7047480922384253,0.04686967261269328
ревакцинация_noun,2021_Q_4,25,5933,0.0159846547314578,2.803360380906535,0.04481074777663899
жас_noun,2021_Q_4,16,5933,0.010230179028132993,3.4965075614664802,0.03576989832702282
қазандаға_noun,2021_Q_4,16,5933,0.010230179028132993,3.4965075614664802,0.03576989832702282
қарс_noun,2021_Q_4,45,5933,0.02877237851662404,1.1939224684724346,0.03435198918239102
екпй_noun,2021_Q_4,22,5933,0.014066496163682864,2.3978952727983707,0.03372998465573156
ос_noun,2021_Q_4,24,5933,0.015345268542199489,2.1102132003465894,0.03238178824061263
қать_verb,2021_Q_4,14,5933,0.008951406649616368,3.4965075614664802,0.03129866103614496
алада_noun,2021_Q_4,20,5933,0.01278772378516624,2.3978952727983707,0.030663622414301414
коронавирусқ_noun,2021_Q_4,28,5933,0.017902813299232736,1.7047480922384253,0.030519786817567715
ад_noun,2021_Q_4,70,5933,0.04475703324808184,0.6632942174102642,0.02968708134189162
болуа_noun,2021_Q_4,13,5933,0.008312020460358057,3.4965075614664802,0.02906304239070604
